# x,gp_mu,gp_std
2.458325533100000117e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325534500000067e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325535900000017e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325537299999967e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325538600000087e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325540000000037e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325541399999987e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325542799999937e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325544199999887e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325545599999838e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325546999999788e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325548400000203e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325549800000153e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325551099999808e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325552500000224e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325553900000174e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325555300000124e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325556700000074e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325558100000024e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325559499999974e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325560899999924e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325562299999874e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325563599999994e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325564999999944e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325566399999894e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325567799999844e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325569199999794e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325570600000210e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325572000000160e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325573400000110e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325574800000060e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325576100000180e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325577500000130e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325578900000080e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325580300000031e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325581699999981e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325583099999931e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325584499999881e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325585899999831e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325587299999781e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325588599999901e+06,1.000000000000000000e+00,3.599000243839443604e-05
2.458325589999999851e+06,9.999999999999998890e-01,3.599000243839443604e-05
2.458325591399999801e+06,9.999999999999998890e-01,3.599000243839443604e-05
2.458325592800000217e+06,9.999999999999997780e-01,3.599000243839443604e-05
2.458325594200000167e+06,9.999999999999996669e-01,3.599000243839443604e-05
2.458325595600000117e+06,9.999999999999995559e-01,3.599000243839443604e-05
2.458325597000000067e+06,9.999999999999992228e-01,3.599000243839443604e-05
2.458325598400000017e+06,9.999999999999987788e-01,3.599000243839443604e-05
2.458325599799999967e+06,9.999999999999980016e-01,3.599000243839443604e-05
2.458325601100000087e+06,9.999999999999968914e-01,3.599000243839443604e-05
2.458325602500000037e+06,9.999999999999951150e-01,3.599000243839443604e-05
2.458325603899999987e+06,9.999999999999922284e-01,3.599000243839443604e-05
2.458325605299999937e+06,9.999999999999876765e-01,3.599000243839443604e-05
2.458325606699999887e+06,9.999999999999804601e-01,3.599000243839443604e-05
2.458325608099999838e+06,9.999999999999690248e-01,3.599000243839443604e-05
2.458325609499999788e+06,9.999999999999508171e-01,3.599000243839443604e-05
2.458325610900000203e+06,9.999999999999219513e-01,3.599000243839443604e-05
2.458325612300000153e+06,9.999999999998762101e-01,3.599000243839443604e-05
2.458325613599999808e+06,9.999999999998102629e-01,3.599000243839442926e-05
2.458325615000000224e+06,9.999999999996993516e-01,3.599000243839442926e-05
2.458325616400000174e+06,9.999999999995240474e-01,3.599000243839441571e-05
2.458325617800000124e+06,9.999999999992467137e-01,3.599000243839438860e-05
2.458325619200000074e+06,9.999999999988087307e-01,3.599000243839432762e-05
2.458325620600000024e+06,9.999999999981171728e-01,3.599000243839415821e-05
2.458325621999999974e+06,9.999999999970260456e-01,3.599000243839374486e-05
2.458325623399999924e+06,9.999999999953056440e-01,3.599000243839272164e-05
2.458325624799999874e+06,9.999999999925954786e-01,3.599000243839018732e-05
2.458325626099999994e+06,9.999999999887023705e-01,3.599000243838454269e-05
2.458325627499999944e+06,9.999999999822065666e-01,3.599000243836989919e-05
2.458325628899999894e+06,9.999999999719995092e-01,3.599000243833368683e-05
2.458325630299999844e+06,9.999999999559766595e-01,3.599000243824428759e-05
2.458325631699999794e+06,9.999999999308505361e-01,3.599000243802404547e-05
2.458325633100000210e+06,9.999999998914936850e-01,3.599000243748258813e-05
2.458325634500000160e+06,9.999999998299202719e-01,3.599000243615444724e-05
2.458325635900000110e+06,9.999999997337135627e-01,3.599000243290455123e-05
2.458325637300000060e+06,9.999999995836018618e-01,3.599000242497283985e-05
2.458325638600000180e+06,9.999999993700811052e-01,3.599000240768451792e-05
2.458325640000000130e+06,9.999999990175906239e-01,3.599000236371396020e-05
2.458325641400000080e+06,9.999999984702050426e-01,3.599000225734539906e-05
2.458325642800000031e+06,9.999999976217843756e-01,3.599000200093823278e-05
2.458325644199999981e+06,9.999999963095130839e-01,3.599000138522998342e-05
2.458325645599999931e+06,9.999999942844347567e-01,3.598999991294918327e-05
2.458325646999999881e+06,9.999999911672443620e-01,3.598999640868433215e-05
2.458325648399999831e+06,9.999999863823877400e-01,3.598998811045379411e-05
2.458325649799999781e+06,9.999999790605714756e-01,3.598996857093217529e-05
2.458325651099999901e+06,9.999999688577969614e-01,3.598992754800134120e-05
2.458325652499999851e+06,9.999999523968500226e-01,3.598982751103933038e-05
2.458325653899999801e+06,9.999999274993041087e-01,3.598959681342321610e-05
2.458325655300000217e+06,9.999998900337820906e-01,3.598906959101691970e-05
2.458325656700000167e+06,9.999998339905913358e-01,3.598787717893350634e-05
2.458325658100000117e+06,9.999997507415230302e-01,3.598521267742898740e-05
2.458325659500000067e+06,9.999996281046575897e-01,3.597934248632495376e-05
2.458325660900000017e+06,9.999994492568284876e-01,3.596662580954752847e-05
2.458325662299999967e+06,9.999991916652904989e-01,3.593963164870207533e-05
2.458325663600000087e+06,9.999988568426869673e-01,3.588917922503848465e-05
2.458325665000000037e+06,9.999983610836001846e-01,3.578234473402754242e-05
2.458325666399999987e+06,9.999976903052154587e-01,3.557580389547404390e-05
2.458325667799999937e+06,9.999968182347760415e-01,3.519730356250095065e-05
2.458325669199999887e+06,9.999957534112761115e-01,3.455514217873475200e-05
2.458325670599999838e+06,9.999945925222697429e-01,3.359248752277833866e-05
2.458325671999999788e+06,9.999936265366695665e-01,3.245259163253455580e-05
2.458325673400000203e+06,9.999934698158765567e-01,3.154642435793829418e-05
2.458325674800000153e+06,9.999949170419506483e-01,3.099508456576125789e-05
2.458325676099999808e+06,9.999979927497757437e-01,3.073919583967043358e-05
2.458325677500000224e+06,1.000002143475241523e+00,3.063069019013036585e-05
2.458325678900000174e+06,1.000004905718249182e+00,3.059582976631251193e-05
2.458325680300000124e+06,1.000004360456176578e+00,3.058602664149230431e-05
2.458325681700000074e+06,9.999998736912748543e-01,3.058204400919636542e-05
2.458325683100000024e+06,9.999930249602836385e-01,3.057635009058760965e-05
2.458325684499999974e+06,9.999883324656204664e-01,3.056507348007209368e-05
2.458325685899999924e+06,9.999884518063643091e-01,3.054661199552051985e-05
2.458325687299999874e+06,9.999911215897903105e-01,3.052655350750230927e-05
2.458325688599999994e+06,9.999941204678903794e-01,3.052654194945198895e-05
2.458325689999999944e+06,9.999979840092541039e-01,3.054654380577034775e-05
2.458325691399999894e+06,1.000000706956300833e+00,3.056479235550148364e-05
2.458325692799999844e+06,1.000003311071815837e+00,3.057532065750670274e-05
2.458325694199999794e+06,1.000005504261835876e+00,3.057859644403146388e-05
2.458325695600000210e+06,1.000007577069717879e+00,3.057532070074965916e-05
2.458325697000000160e+06,1.000010454378950753e+00,3.056479236643282329e-05
2.458325698400000110e+06,1.000014593175044153e+00,3.054654353098594787e-05
2.458325699800000060e+06,1.000018762988591936e+00,3.052653931177255319e-05
2.458325701100000180e+06,1.000020958505940527e+00,3.052653928219503681e-05
2.458325702500000130e+06,1.000021149925793607e+00,3.054654342357172793e-05
2.458325703900000080e+06,1.000019271348852046e+00,3.056479215103725759e-05
2.458325705300000031e+06,1.000015923085932457e+00,3.057532036741770500e-05
2.458325706699999981e+06,1.000011063173360304e+00,3.057859608388601092e-05
2.458325708099999931e+06,1.000003942856872996e+00,3.057532037763614785e-05
2.458325709499999881e+06,9.999965391493660372e-01,3.056479216674675076e-05
2.458325710899999831e+06,9.999909315666508647e-01,3.054654344420366837e-05
2.458325712299999781e+06,9.999871852435389119e-01,3.052653931331748030e-05
2.458325713599999901e+06,9.999849700935122820e-01,3.052653936072896368e-05
2.458325714999999851e+06,9.999840938531330270e-01,3.054654360214257691e-05
2.458325716399999801e+06,9.999851525032711352e-01,3.056479242980460290e-05
2.458325717800000217e+06,9.999883618765124105e-01,3.057532064677176631e-05
2.458325719200000167e+06,9.999928750433078051e-01,3.057859626307081648e-05
2.458325720600000117e+06,9.999967634289917973e-01,3.057532046874553242e-05
2.458325722000000067e+06,9.999989791626106017e-01,3.056479220587177858e-05
2.458325723400000017e+06,1.000000238838151700e+00,3.054654344979965591e-05
2.458325724799999967e+06,1.000000439201965685e+00,3.052653927889774084e-05
2.458325726100000087e+06,9.999993397237930681e-01,3.052653926946388767e-05
2.458325727500000037e+06,9.999980357754786331e-01,3.054654342397120222e-05
2.458325728899999987e+06,9.999972916498661712e-01,3.056479216686572840e-05
2.458325730299999937e+06,9.999965249841152870e-01,3.057532040833238468e-05
2.458325731699999887e+06,9.999949950760829154e-01,3.057859616656820372e-05
2.458325733099999838e+06,9.999937779093205359e-01,3.057532052222225282e-05
2.458325734499999788e+06,9.999930351161275821e-01,3.056479237236665500e-05
2.458325735900000203e+06,9.999929887110230453e-01,3.054654360211086399e-05
2.458325737300000153e+06,9.999930717844008887e-01,3.052653935189656489e-05
2.458325738599999808e+06,9.999922861330385881e-01,3.052653936550191302e-05
2.458325740000000224e+06,9.999903931047344763e-01,3.054654356947585683e-05
2.458325741400000174e+06,9.999882061218791085e-01,3.056479226262035008e-05
2.458325742800000124e+06,9.999872404777160328e-01,3.057532042933846974e-05
2.458325744200000074e+06,9.999887901489741271e-01,3.057859610937142304e-05
2.458325745600000024e+06,9.999929011802272116e-01,3.057532038281758391e-05
2.458325746999999974e+06,9.999950397583795558e-01,3.056479216120798877e-05
2.458325748399999924e+06,9.999943402461396458e-01,3.054654342435467098e-05
2.458325749799999874e+06,9.999915580087590516e-01,3.052653926866569803e-05
2.458325751099999994e+06,9.999887024839337890e-01,3.052653927823479864e-05
2.458325752499999944e+06,9.999869982459472784e-01,3.054654345962708802e-05
2.458325753899999894e+06,9.999870734332592104e-01,3.056479224414844530e-05
2.458325755299999844e+06,9.999880298442874738e-01,3.057532054648706335e-05
2.458325756699999794e+06,9.999887224476854408e-01,3.057859635710922743e-05
2.458325758100000210e+06,9.999887978233251706e-01,3.057532064970620015e-05
2.458325759500000160e+06,9.999880870117953124e-01,3.056479234309415180e-05
2.458325760900000110e+06,9.999871018821393509e-01,3.054654352783653707e-05
2.458325762300000060e+06,9.999852172514683835e-01,3.052653932061361204e-05
2.458325763600000180e+06,9.999838970119161452e-01,3.052653929306062638e-05
2.458325765000000130e+06,9.999843780593398179e-01,3.054654343068042145e-05
2.458325766400000080e+06,9.999885944963589068e-01,3.056479215236476829e-05
2.458325767800000031e+06,9.999982544343660740e-01,3.057532036311081351e-05
2.458325769199999981e+06,1.000010797653160033e+00,3.057859607577340718e-05
2.458325770599999931e+06,1.000021375029010118e+00,3.057532037043215296e-05
2.458325771999999881e+06,1.000025006993683796e+00,3.056479216683606869e-05
2.458325773399999831e+06,1.000024199023099580e+00,3.054654345174450455e-05
2.458325774799999781e+06,1.000022010833550468e+00,3.052653932241516303e-05
2.458325776099999901e+06,1.000020031867541181e+00,3.052653936774898978e-05
2.458325777499999851e+06,1.000018510276551753e+00,3.054654360602024630e-05
2.458325778899999801e+06,1.000017671558441901e+00,3.056479243078303438e-05
2.458325780300000217e+06,1.000016404612869669e+00,3.057532064503263149e-05
2.458325781700000167e+06,1.000014443898917138e+00,3.057859625827670486e-05
2.458325783100000117e+06,1.000013201434174270e+00,3.057532046046086580e-05
2.458325784500000067e+06,1.000014206888761192e+00,3.056479219505034314e-05
2.458325785900000017e+06,1.000017655826493268e+00,3.054654344062192518e-05
2.458325787299999967e+06,1.000022501924704432e+00,3.052653927729655719e-05
2.458325788600000087e+06,1.000026388257981402e+00,3.052653927430678160e-05
2.458325790000000037e+06,1.000028193299499879e+00,3.054654342895231161e-05
2.458325791399999987e+06,1.000026874401366728e+00,3.056479216718719434e-05
2.458325792799999937e+06,1.000023272234840332e+00,3.057532040394373758e-05
2.458325794199999887e+06,1.000017389894729547e+00,3.057859616211992549e-05
2.458325795599999838e+06,1.000008576496780544e+00,3.057532052460703681e-05
2.458325796999999788e+06,9.999972559170932085e-01,3.056479238213087813e-05
2.458325798400000203e+06,9.999868472160177157e-01,3.054654361331716409e-05
2.458325799800000153e+06,9.999817496027796349e-01,3.052653936040349296e-05
2.458325801099999808e+06,9.999823642706864302e-01,3.052653937055121872e-05
2.458325802500000224e+06,9.999882154571586579e-01,3.054654357117505235e-05
2.458325803900000174e+06,9.999966086318401448e-01,3.056479226140125960e-05
2.458325805300000124e+06,1.000004753519827982e+00,3.057532042502585231e-05
2.458325806700000074e+06,1.000011453807442496e+00,3.057859610163522719e-05
2.458325808100000024e+06,1.000016211487744000e+00,3.057532037274429541e-05
2.458325809499999974e+06,1.000019592718460304e+00,3.056479215309134637e-05
2.458325810899999924e+06,1.000021357888481122e+00,3.054654342451402159e-05
2.458325812299999874e+06,1.000022218227263338e+00,3.052653927719440501e-05
2.458325813599999994e+06,1.000021601950494610e+00,3.052653928900127858e-05
2.458325814999999944e+06,1.000018913385816832e+00,3.054654346850613461e-05
2.458325816399999894e+06,1.000013967077802546e+00,3.056479224970988745e-05
2.458325817799999844e+06,1.000007032087723235e+00,3.057532054888800196e-05
2.458325819199999794e+06,1.000000508792344700e+00,3.057859635694190793e-05
2.458325820600000210e+06,9.999971095649801134e-01,3.057532064720773756e-05
2.458325822000000160e+06,9.999956845462583122e-01,3.056479233785006918e-05
2.458325823400000110e+06,9.999948290099589521e-01,3.054654351943010098e-05
2.458325824800000060e+06,9.999947031659095487e-01,3.052653931010085574e-05
2.458325826100000180e+06,9.999967328936889555e-01,3.052653928438805932e-05
2.458325827500000130e+06,9.999987522098159332e-01,3.054654342977805353e-05
2.458325828900000080e+06,9.999986300874373901e-01,3.056479215873499815e-05
2.458325830300000031e+06,9.999962834754796415e-01,3.057532036982247219e-05
2.458325831699999981e+06,9.999940898900290254e-01,3.057859607783483465e-05
2.458325833099999931e+06,9.999928426643145407e-01,3.057532036630923703e-05
