############ Fitted parameters ############
b_rsuma,0.0,(fixed),
b_rr,0.0,(fixed),
b_cosi,0.0,(fixed),
b_epoch,0.0,(fixed),
b_period,0.0,(fixed),
flare_tpeak_1,0.29859050599288817,0.0012168663449021455,0.0011582255461169977
flare_fwhm_1,0.11437895325769727,0.004913107835063227,0.005138541010568501
flare_ampl_1,0.012538546302894894,0.0002936121677054454,0.0002929676120897104
flare_tpeak_2,0.5001778577058279,0.0015546196434226278,0.0017335422806030731
flare_fwhm_2,0.039001759094779244,0.0064233731166313465,0.007111894138759019
flare_ampl_2,0.004728845970762719,0.00047677585863517905,0.0005026684854643818
flare_tpeak_3,1.3913434165528773,0.003073803795544894,0.0027138656135174966
flare_fwhm_3,0.2026709552121294,0.011979111255000036,0.012005845709982199
flare_ampl_3,0.006866529997955097,0.00021098266736054722,0.00021822132965949176
log_err_flux_FLARONARDO,-6.9216501285579515,0.02202498063376268,0.022497905146813935
