#SpT,Teff,logT,BCv,Mv,logL,B-V,Bt-Vt,G-V,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT
A4V,8270,3.917,-0.04,1.76,1.2,0.14,0.166,-0.029,0.097,0.078,0.164,0.353,0.022,0.037,0.029,-0.031,-0.059,-0.021,1.9,8.8,0.071,1.47,1.41,1.72,,,1.94,A4V
A5V,8080,3.907,-0.03,1.84,1.16,0.16,0.185,-0.031,0.1,0.089,0.186,0.403,0.031,0.038,0.029,-0.03,-0.058,-0.021,1.85,8.8,0.09,1.51,1.44,1.81,,,1.94,A5V
A6V,8000,3.903,-0.02,1.89,1.14,0.17,0.194,-0.032,0.098,0.094,0.197,0.428,0.036,0.038,0.029,-0.03,-0.057,-0.018,1.83,8.9,0.099,1.54,1.46,1.87,,,1.93,A6V
A7V,7800,3.892,0,2.07,1.06,0.21,0.233,-0.037,0.091,0.117,0.242,0.528,0.055,0.04,0.029,-0.03,-0.056,-0.017,1.76,8.9,0.107,1.64,1.54,2.07,,,1.86,A7V
A8V,7500,3.874,0,2.29,0.97,0.25,0.274,-0.042,0.082,0.14,0.288,0.626,0.075,0.042,0.028,-0.028,-0.055,-0.009,1.67,9,0.132,1.78,1.66,2.29,,,1.81,A8V
A9V,7440,3.872,0,2.3,0.97,0.255,0.279,-0.043,0.08,0.143,0.294,0.638,0.078,0.043,0.028,-0.028,-0.055,-0.007,1.67,9,0.145,1.78,1.66,2.3,,,1.84,A9V
F0V,7220,3.857,-0.01,2.51,0.89,0.294,0.317,-0.049,0.053,0.166,0.339,0.732,0.098,0.045,0.028,-0.026,-0.05,0.003,1.59,9.1,0.158,1.9,1.76,2.5,,,1.79,F0V
F1V,7030,3.847,-0.01,2.79,0.77,0.334,0.35,-0.057,0.021,0.19,0.385,0.828,0.119,0.047,0.028,-0.026,-0.047,0.009,1.5,9.1,0.204,2.13,1.96,2.78,,,1.64,F1V
F2V,6810,3.833,-0.02,2.99,0.7,0.374,0.39,-0.066,-0.008,0.213,0.432,0.925,0.14,0.05,0.028,-0.027,-0.046,0.011,1.44,9.2,0.25,2.26,2.07,2.97,,,1.61,F2V
F3V,6720,3.827,-0.03,3.08,0.67,0.389,0.405,-0.069,-0.016,0.222,0.449,0.961,0.147,0.051,0.028,-0.028,-0.046,0.008,1.43,9.2,0.263,2.32,2.12,3.05,,,1.6,F3V
F4V,6640,3.822,-0.04,3.23,0.61,0.412,0.428,-0.075,-0.026,0.236,0.476,1.017,0.159,0.052,0.028,-0.029,-0.046,0,1.39,9.2,0.277,2.42,2.21,3.19,,,1.53,F4V
F5V,6510,3.814,-0.04,3.4,0.54,0.438,0.455,-0.081,-0.029,0.252,0.506,1.079,0.173,0.054,0.028,-0.03,-0.045,-0.004,1.33,9.3,0.29,2.55,2.32,3.36,,,1.46,F5V
F6V,6340,3.802,-0.05,3.7,0.43,0.484,0.504,-0.093,-0.021,0.276,0.553,1.185,0.199,0.057,0.028,-0.033,-0.045,-0.012,1.25,9.4,0.317,2.78,2.52,3.65,,,1.36,F6V
F7V,6240,3.795,-0.06,3.87,0.36,0.51,0.534,-0.099,-0.012,0.29,0.579,1.244,0.213,0.06,0.027,-0.036,-0.045,-0.013,1.21,9.5,0.332,2.9,2.63,3.81,,,1.3,F7V
F8V,6170,3.79,-0.07,4.01,0.31,0.53,0.558,-0.105,0.001,0.3,0.599,1.29,0.225,0.061,0.027,-0.039,-0.044,-0.016,1.18,9.6,0.35,3.01,2.72,3.96,,,1.25,F8V
F9V,6060,3.782,-0.08,4.15,0.26,0.552,0.587,-0.111,0.014,0.312,0.62,1.34,0.237,0.063,0.027,-0.041,-0.044,-0.014,1.14,9.7,0.378,3.11,2.81,4.07,,,1.23,F9V
F9.5V,6000,3.778,-0.08,4.29,0.21,0.572,0.615,-0.117,0.033,0.323,0.64,1.385,0.249,0.065,0.027,-0.042,-0.043,-0.012,1.11,9.7,,3.22,2.91,4.22,,,1.18,F9.5V
