#property,value,lower_error,upper_error,source
$e_\mathrm{b}$,0.6374887560987941,0.0024035717522955524,0.0023586680247994485,derived
$w_\mathrm{b}$ (deg),330.5997600551237,0.5404056527440275,0.5399471234334783,derived
$P_\mathrm{b} / P_\mathrm{c}$,333.9132291704786,0.2848574503228747,0.2872924425259953,derived
$R_\star/a_\mathrm{c}$,0.07470140509156238,0.0016572873449884895,0.0018583153607181768,derived
$R_\mathrm{c}/a_\mathrm{c}$,0.0012917576017700654,4.0991023296635875e-05,4.229136632364879e-05,derived
$R_\mathrm{c}$ ($\mathrm{R_{\oplus}}$),2.0737949081324434,0.05651864117190275,0.05634956647119971,derived
$R_\mathrm{c}$ ($\mathrm{R_{jup}}$),0.1850119076758174,0.005042264103095662,0.005027180242683921,derived
$a_\mathrm{c}$ ($\mathrm{R_{\odot}}$),14.71201413823489,0.4581220715020944,0.4686050790304126,derived
$a_\mathrm{c}$ (AU),0.06841774009267375,0.0021304816950446642,0.0021792325783515087,derived
$i_\mathrm{c}$ (deg),87.47842796921252,0.18992014140806646,0.18440465246310112,derived
$M_\mathrm{c}$ ($\mathrm{M_{\oplus}}$),4.817597746041747,0.8402778545276886,0.8867049343673941,derived
$M_\mathrm{c}$ ($\mathrm{M_{jup}}$),0.015157857655516641,0.002643809795136693,0.0027898857244003476,derived
$b_\mathrm{tra;c}$,0.5894180609515686,0.0325776036980997,0.03073013854845119,derived
$T_\mathrm{tot;c}$ (h),2.972385932338303,0.04905146364811541,0.042759393591741635,derived
$T_\mathrm{full;c}$ (h),2.818226905179712,0.05182614620395398,0.04554142208564249,derived
$rho_\mathrm{\star;c}$ (cgs),1.1549939285042532,0.08210549778844634,0.08029064779635231,derived
$rho_\mathrm{c}$ (cgs),2.9618565439467375,0.5622909397424061,0.6408354709691402,derived
$g_\mathrm{\star;c}$ (cgs),1090.9872592051827,192.77085792251694,209.20412155394547,derived
$T_\mathrm{eq;c}$ (K),1067.435556875373,14.66503712460758,15.1144063566976,derived
$\delta_\mathrm{tr; undil; c; TESS}$ (ppt),0.3244093885784727,0.012320042025559808,0.012078066438880875,derived
$\delta_\mathrm{tr; dil; c; TESS}$ (ppt),0.3244093885784727,0.012320042025559808,0.012078066438880875,derived
$P_\mathrm{c} / P_\mathrm{b}$,0.0029947900012354902,2.5744440198924474e-06,2.5570014912158247e-06,derived
Limb darkening $u_\mathrm{1; TESS}$,0.2773865422198397,0.19316172567620815,0.2862857572103563,derived
Limb darkening $u_\mathrm{2; TESS}$,0.24143831420547707,0.3446896717030118,0.3017296232279821,derived
$rho_\mathrm{\star; combined}$ (cgs),1.1549939285042532,0.08210549778844634,0.08029064779635231,derived
