# bintime,binflux,binflux_err
-5.033985834620552380e-02,9.997178153558210489e-01,1.328541023766169620e-04
-4.942645110169393424e-02,9.997112196067283740e-01,9.396886255291236087e-05
-4.853852401637485242e-02,9.997192063639240844e-01,1.202149958155036093e-04
-4.756207905479337833e-02,9.997012452645734903e-01,1.287366392704774373e-04
-4.660403439992193142e-02,9.996777661144733429e-01,9.074156079778687451e-05
-4.569400028767596489e-02,9.998112022876739502e-01,1.545975289613382968e-04
-4.473984772696399520e-02,9.996482838283885508e-01,1.240757814137317830e-04
-4.378101344851050014e-02,9.990318218866983679e-01,9.637043375848933224e-05
-4.282913140012709063e-02,9.982772972434759140e-01,1.246247963320342138e-04
-4.187650570385648835e-02,9.973800597768841536e-01,1.472478255473850183e-04
-4.091994210648439156e-02,9.961022644331960496e-01,1.133852862391375487e-04
-4.001416966517778312e-02,9.951941728591918723e-01,1.609266902994317217e-04
-3.905814123039311192e-02,9.942200797445633897e-01,1.478090062002414859e-04
-3.811064484499664812e-02,9.929305315017700195e-01,1.155517940087925585e-04
-3.722806457990725931e-02,9.924729447210988154e-01,1.579425216296651891e-04
-3.626675647204955638e-02,9.915507469858442224e-01,1.358626863391604127e-04
-3.526585881788434074e-02,9.911823003522811648e-01,9.378118693426303369e-05
-3.437349146439165615e-02,9.912400384744007864e-01,1.337822726594139415e-04
-3.346336009776063741e-02,9.909218698740005493e-01,1.937048585637223420e-04
-3.249254763110440147e-02,9.905665647238492966e-01,9.724933687164814746e-05
-3.157350532998243198e-02,9.907313354553715090e-01,1.767860435964096696e-04
-3.061415574414249816e-02,9.905053499866934841e-01,1.647510571400954797e-04
-2.961286854603382285e-02,9.903842349847157278e-01,1.773105379211503804e-04
-2.870662594786778377e-02,9.900858748343682736e-01,1.002799618626470463e-04
-2.775256155926702356e-02,9.901589558405035074e-01,1.754594382239673561e-04
-2.678557536420157412e-02,9.901147246360778587e-01,1.949667662251515271e-04
-2.589768056563381340e-02,9.899145172488305056e-01,1.036032503545388617e-04
-2.493707492980156218e-02,9.901208660819313945e-01,1.971547332016951890e-04
-2.395100353816480634e-02,9.900964554399251938e-01,1.722823249402423039e-04
-2.305753294045196147e-02,9.896588633800375012e-01,8.500583390576504168e-05
-2.215477740982132321e-02,9.898748578447283952e-01,1.796400057283198176e-04
-2.116015889934909702e-02,9.896333614985147742e-01,1.955567130804142652e-04
-2.021684765454965366e-02,9.894238748858051880e-01,1.127470724717214779e-04
-1.928472393343885760e-02,9.894122609070369334e-01,1.268740829890864605e-04
-1.836178455402743409e-02,9.895256638526916948e-01,1.177606514732264909e-04
-1.740995919904411715e-02,9.893412570799550165e-01,1.227261977691802407e-04
-1.647625023960761631e-02,9.892854522913694382e-01,1.052972539441247938e-04
-1.550741274475081651e-02,9.893466753344382081e-01,8.643609744057268395e-05
-1.457319342193670771e-02,9.892100133001804352e-01,6.877998726036062130e-05
-1.365398812646299691e-02,9.891710454417813603e-01,9.160949612919368679e-05
-1.269652524062815473e-02,9.891679305583238602e-01,8.106081514370017886e-05
-1.173782437671191947e-02,9.892209116369485855e-01,9.344227638835505092e-05
-1.081481660247990417e-02,9.892355984654920276e-01,9.893878565093618810e-05
-9.881359517420501559e-03,9.890281470382914497e-01,1.040317067335202783e-04
-8.913877335008407038e-03,9.891074626676498172e-01,1.123569455306414603e-04
-8.004117535628223895e-03,9.891794015621316882e-01,1.182031369401967240e-04
-7.094234301356149713e-03,9.892073925584554672e-01,9.207948947517973187e-05
-6.112242966229019907e-03,9.889044817537069321e-01,1.038999150800257675e-04
-5.193502636399454850e-03,9.891331421917882727e-01,1.072877633432859382e-04
-4.283698964358794055e-03,9.889780525118112564e-01,9.498591908157793292e-05
-3.316863423831504804e-03,9.890239834785461426e-01,9.277771374363511360e-05
-2.354154839584427818e-03,9.891044334931806681e-01,9.463653597197416612e-05
-1.404704456024171008e-03,9.890070259571075439e-01,9.111547637836404034e-05
-4.417340834153846217e-04,9.890828231970468787e-01,1.120091632138126410e-04
4.823538639355915043e-04,9.890879507987729857e-01,9.398473298340799184e-05
1.415982376528031501e-03,9.889993577292470750e-01,8.424968120593610040e-05
2.373317491820250980e-03,9.890400882690183471e-01,1.024119057939213334e-04
3.304136095298157438e-03,9.890036955475807190e-01,1.021800505908448416e-04
4.244556922261838103e-03,9.889068238196834226e-01,9.856854678037429605e-05
5.204840028114174691e-03,9.891250787242766851e-01,1.091611231888296415e-04
6.129461297983741959e-03,9.891266203843630533e-01,1.312304210491911205e-04
7.020765311151019004e-03,9.890341368214837781e-01,1.035472803927478958e-04
7.979817342710388006e-03,9.890622850507497787e-01,7.803056120190188152e-05
8.951609550434239115e-03,9.891751911491155624e-01,1.151905418013738394e-04
9.877190046087796008e-03,9.891963263352712143e-01,1.173935023211000316e-04
1.078611631951381482e-02,9.894598901271820512e-01,1.107190330656086634e-04
1.174406166186827381e-02,9.892879634192495164e-01,9.355586801766580961e-05
1.271477826739962624e-02,9.890100975190440069e-01,8.386798557816325949e-05
1.367166257392849610e-02,9.892823119317332159e-01,9.633276903861525851e-05
1.464275403689526203e-02,9.892777893692255020e-01,1.263265830726180840e-04
1.555046540290216592e-02,9.894297365789059828e-01,9.381620118600810399e-05
1.646608563850492091e-02,9.893013518303632736e-01,1.009109861697052448e-04
1.744530002962021639e-02,9.894140852349144755e-01,1.127628645489646203e-04
1.834478478380771604e-02,9.894658497401646047e-01,1.338573511312222725e-04
1.929672338611696306e-02,9.895546957850456238e-01,9.668861957028061186e-05
2.027653984050044669e-02,9.895153522491455522e-01,1.173930124823789465e-04
2.117230163793839062e-02,9.896542562378777275e-01,1.219852757154617651e-04
2.208830693038058013e-02,9.895480107516050339e-01,8.481471957663363516e-05
2.306739045535161764e-02,9.898013664830115355e-01,1.010873711803295718e-04
2.398452185359277455e-02,9.897433128850213757e-01,1.010665067746920189e-04
2.490973183664265539e-02,9.897810682173697749e-01,1.121579536763676980e-04
2.586049228782126216e-02,9.899406254291533980e-01,1.025710944648016944e-04
2.680308089081255910e-02,9.901425242424011230e-01,1.367434413205259559e-04
2.778294530506834198e-02,9.900004767602489375e-01,1.272694876326432801e-04
2.876743108449355060e-02,9.901475587061473460e-01,1.073545108398612726e-04
2.964977131659059587e-02,9.903934260209401597e-01,1.085169014555328220e-04
3.061035960614538406e-02,9.903633072972297668e-01,1.093305233653308624e-04
3.159167275767751915e-02,9.905789176623026604e-01,1.160866021867987030e-04
3.247893964096754127e-02,9.908461292584737068e-01,1.133717612364908850e-04
3.341335210731726652e-02,9.908392857760190964e-01,1.035050100540800110e-04
3.438060638541345221e-02,9.909520242363214493e-01,1.064563544103006389e-04
3.531258320579387655e-02,9.912268351763486862e-01,1.183572546542005640e-04
3.621161260351316025e-02,9.916459379657622808e-01,1.477212307960070251e-04
3.715556696934466108e-02,9.924122709780931473e-01,1.075546690459388427e-04
3.810452140653537018e-02,9.933332584121010722e-01,1.081092496206458541e-04
3.903458336818244750e-02,9.943223781883716583e-01,1.063855348088461807e-04
4.000297822043675372e-02,9.952312304693109457e-01,1.044115074715101538e-04
4.096749207362323369e-02,9.963415481827475606e-01,1.067757512279078630e-04
4.189936721433873412e-02,9.975628871470689774e-01,1.044241868596088290e-04
4.285189542802905066e-02,9.983504197814248027e-01,1.033716383176229171e-04
4.380245170674818694e-02,9.989041758306098640e-01,1.158564808834428852e-04
4.472293525272962034e-02,9.997088140056978878e-01,1.167927407039949950e-04
4.567002062072900853e-02,9.999091099290287055e-01,1.022349166324744836e-04
4.662613399540231629e-02,9.997650254517793655e-01,1.081504562828706443e-04
4.751507506291041683e-02,9.998436192671458222e-01,1.278318948021857869e-04
4.846125451678452017e-02,9.997356159346444393e-01,8.984509349489936780e-05
4.944692977593476840e-02,9.998703887968352078e-01,1.002762242707956874e-04
5.035553807516166686e-02,9.995887637138366477e-01,1.211950576520177839e-04
5.127996816687310083e-02,9.998733015621409370e-01,7.235644752099333610e-05
5.223876983086697678e-02,9.996994212269783020e-01,7.944173777880480581e-05
5.317935168299338378e-02,9.998607671622073978e-01,9.705267553971592780e-05
5.412802521636077974e-02,9.997870127360025672e-01,1.159542400154903467e-04
5.510391497141913647e-02,9.998226314783096313e-01,1.238019819930495278e-04
5.603586545569963495e-02,9.998603809264398068e-01,1.143616269950088889e-04
5.697069287033521001e-02,9.998238664684873100e-01,9.839060714921668365e-05
5.790856017119997562e-02,9.996753622745645496e-01,1.005908642973884305e-04
5.882024674249425322e-02,9.997420798648487539e-01,1.095651920814847633e-04
5.978167683310568747e-02,9.997487664222717285e-01,1.162717593872109083e-04
6.074666210572613606e-02,9.998281944182610959e-01,1.076364915294625286e-04
6.165613062282655765e-02,1.000134998752224780e+00,9.227554711584171965e-05
6.257362355273284049e-02,9.998037760907952931e-01,1.020082185455754522e-04
6.354931168122189555e-02,9.998246189206838608e-01,8.274046944895007468e-05
6.449346134224938354e-02,9.998294476306799350e-01,1.270045837621460230e-04
6.542082900981911753e-02,9.998930904173082279e-01,1.016356360619057806e-04
6.636247239587630964e-02,9.997410066425800323e-01,7.929210205929257546e-05
6.729972683597232330e-02,1.000082164099722171e+00,1.008261844621963856e-04
6.824528779665418876e-02,9.998025063312414584e-01,9.791559944511240405e-05
6.921223811003374138e-02,9.996803619644858419e-01,1.098379631415063811e-04
7.017829784649748381e-02,9.997418913990259171e-01,1.065450573029274759e-04
7.108155706189085710e-02,9.998049815495808623e-01,1.377304386078610744e-04
7.204495817026365656e-02,9.998582448278154899e-01,1.109944943568058590e-04
7.300077539177161901e-02,9.999613165855407715e-01,1.086432401269610905e-04
7.388966659023560313e-02,9.998692101047884639e-01,7.925662924510993082e-05
7.485018740105618684e-02,9.998648933001926808e-01,9.272247846692987865e-05
7.581840930786985788e-02,9.999206527586905757e-01,9.932848233038121008e-05
7.671275136540460504e-02,9.997803568840026855e-01,1.107056861461190665e-04
7.764105288027303708e-02,9.997777851188883735e-01,8.599796746081280678e-05
7.861364694286249177e-02,9.999614520506425741e-01,9.777770569282386124e-05
7.953818706070324429e-02,9.998778470100895266e-01,1.007112652742944659e-04
8.045690731474824942e-02,9.997893975627037966e-01,1.233535515954969355e-04
8.140547589732917422e-02,9.999393727630376816e-01,9.530609283987013537e-05
8.236062901920104817e-02,9.998656581429874457e-01,9.458450836743069934e-05
8.334732597073159222e-02,1.000024430679552490e+00,8.033507482180455021e-05
8.428662964424825377e-02,9.997141053599696292e-01,9.425904940219680410e-05
8.520919601965590284e-02,9.999981034885753184e-01,1.254245831293429462e-04
8.616188488004736246e-02,9.997301492840051651e-01,1.026066407116646044e-04
8.710994149379719387e-02,1.000057702884078026e+00,1.011670155632305297e-04
8.803005309825807922e-02,9.998271726071834564e-01,9.504474677188959916e-05
8.896256584497516662e-02,1.000067001039331549e+00,8.618101557904392146e-05
8.993052666988397836e-02,9.999116135366035163e-01,1.040209689760883014e-04
9.085355274743542320e-02,9.997171221240874761e-01,8.250847095664357359e-05
9.175346069274403771e-02,9.998091310262680054e-01,1.038459749976409249e-04
9.270830915037038544e-02,9.998696518666816413e-01,9.152696158188462425e-05
9.366275324331101160e-02,1.000007994472980499e+00,1.105553254157032284e-04
9.459026778741486119e-02,9.997900128364562988e-01,1.015779625300724441e-04
9.554426621758636828e-02,9.999020298322042200e-01,1.239349756901678699e-04
9.650056998807723940e-02,9.998488191402319369e-01,1.039529240419050283e-04
9.745511650742473553e-02,9.998823692721705569e-01,1.031535746060314096e-04
9.838544674044741312e-02,9.998036142318479369e-01,1.031267087133316341e-04
9.934599807928602699e-02,9.998491648584604263e-01,1.045782596551999297e-04
1.002633658605675687e-01,9.998756627241770500e-01,9.654800680440626590e-05
1.012139320058800390e-01,9.999261849066790608e-01,9.360055335991318743e-05
1.021556480290936320e-01,9.997690836588541963e-01,8.426175540055743935e-05
1.030720109475303237e-01,9.997629584937259839e-01,1.174178389040157435e-04
1.040169017425689318e-01,9.999355656760079425e-01,1.069241223912389841e-04
1.049932380489422695e-01,9.999671690165996552e-01,1.268581328514557587e-04
1.059112353107509036e-01,9.998995502789814749e-01,1.107445601197912694e-04
1.068206449131117453e-01,9.998451362956654043e-01,9.669831817183341816e-05
1.077803630938019425e-01,1.000008832324635000e+00,7.579156395287305471e-05
1.087251912498390233e-01,9.998939787187883788e-01,1.076938427430471681e-04
1.096553026825717730e-01,9.998841628883824439e-01,8.259929884723073450e-05
1.106165090338720319e-01,1.000102940833929921e+00,8.340141717868852279e-05
1.115688617977171893e-01,1.000037843530828363e+00,8.762633841978106734e-05
1.125312049366322398e-01,1.000037065323661434e+00,9.154035189311005005e-05
1.134669546212904445e-01,9.999669420308080481e-01,1.070241331407860723e-04
1.143759284969623480e-01,9.999421690449570299e-01,1.060540576281699613e-04
1.153175486079816431e-01,1.000088078901171684e+00,1.206643382711879251e-04
1.162904077527913971e-01,9.999448259671529504e-01,8.809212359333097315e-05
1.172118429493464731e-01,9.998863358651438604e-01,8.337433898515622091e-05
1.181395244842110975e-01,9.998843427747488022e-01,1.008753118111118009e-04
1.190943209487438925e-01,1.000113623216748238e+00,1.004609807511253695e-04
1.200353011575079343e-01,9.996818639338016510e-01,1.120991875816143975e-04
1.209765525122099145e-01,9.998961052586955445e-01,9.457435171121270458e-05
1.219294184729094038e-01,1.000045989790270484e+00,9.209658198644812257e-05
