############ Fitted parameters ############
ldc_q1_Leonardo,0.304844288229393,0.18067915431040557,0.24204919617528353
ldc_q2_Leonardo,0.2560680860397816,0.17638887387058869,0.33023934396665633
ldc_q1_Michelangelo_TTV,0.7632482668170935,0.2432916635380944,0.16051049417531948
ldc_q2_Michelangelo_TTV,0.2625334028507814,0.08987931644782432,0.1053232629391605
b_rsuma,0.11928482588486232,0.008291337431423837,0.007926055803507984
b_rr,0.10302254098381278,0.0028901834795742876,0.0030141357903021165
b_cosi,0.04499770009472998,0.029145747441961734,0.016978323883908013
b_epoch,1.1013311512163166,0.0010485872376400085,0.0010696307407696004
b_period,3.400147460123974,0.00039333333039603957,0.00027247530463947456
b_K,0.09863215966142076,0.0018601840039026707,0.0029393177046961455
ttv_Michelangelo_TTV,0.003999845661369619,0.005407517729900684,0.0037877893770747097
log_err_flux_Leonardo,-6.228166450349251,0.07023058418173278,0.06941286288883308
log_err_flux_Michelangelo_TTV,-7.658479293410491,0.06980254694540822,0.07597756024112545
log_jitter_rv_Donatello,-4.455653028377183,0.43148505605386944,0.43345422798631716
log_jitter_rv_Raphael,-5.647375887958936,0.46097081497667514,0.6041489536359315
