#BJD_TDB,flux,flux_err
2.458411173576e+06,1.010157228e+00,2.154747397e-02
2.458411174964e+06,1.002018094e+00,2.154590189e-02
2.458411176353e+06,9.915593863e-01,2.155394666e-02
2.458411177742e+06,9.964810610e-01,2.150971442e-02
2.458411179131e+06,1.006957293e+00,2.155640163e-02
2.458411180520e+06,1.034633517e+00,2.155775763e-02
2.458411181909e+06,1.024654627e+00,2.157764696e-02
2.458411183298e+06,1.008532763e+00,2.153404057e-02
2.458411184687e+06,1.005861521e+00,2.154336683e-02
2.458411186076e+06,1.017476439e+00,2.153728902e-02
2.458411187465e+06,1.009305835e+00,2.155281790e-02
2.458411188854e+06,1.002786517e+00,2.151445858e-02
2.458411190243e+06,9.931612015e-01,2.152206935e-02
2.458411191632e+06,1.016314507e+00,2.154918760e-02
2.458411193021e+06,1.040081859e+00,2.157586813e-02
2.458411194409e+06,9.712203741e-01,2.146570943e-02
2.458411195798e+06,1.020068526e+00,2.154503018e-02
2.458411197187e+06,9.666451812e-01,2.148709260e-02
2.458411198576e+06,9.965295196e-01,2.150760405e-02
2.458411199965e+06,1.006390333e+00,2.153032646e-02
2.458411201354e+06,9.813584089e-01,2.152749524e-02
2.458411202743e+06,1.035506487e+00,2.157514729e-02
2.458411204132e+06,1.009758830e+00,2.152759209e-02
2.458411205521e+06,1.004646063e+00,2.151982859e-02
2.458411206910e+06,9.662802815e-01,2.148805931e-02
2.458411208299e+06,1.006817698e+00,2.152990177e-02
2.458411209688e+06,9.904159307e-01,2.150459774e-02
2.458411211077e+06,1.016472578e+00,2.155620046e-02
2.458411212466e+06,9.831256866e-01,2.153359912e-02
2.458411213854e+06,9.986461997e-01,2.153627388e-02
2.458411215243e+06,9.615253806e-01,2.150406316e-02
2.458411216632e+06,1.004053831e+00,2.151541598e-02
2.458411218021e+06,9.934926033e-01,2.151073329e-02
2.458411219410e+06,1.012499809e+00,2.158121951e-02
2.458411220799e+06,9.852272272e-01,2.150232159e-02
2.458411222188e+06,9.763091803e-01,2.151441947e-02
2.458411223577e+06,1.017877340e+00,2.156790905e-02
2.458411224966e+06,1.015039206e+00,2.159265801e-02
2.458411226355e+06,1.008302450e+00,2.155045420e-02
2.458411227744e+06,9.815928340e-01,2.152526379e-02
2.458411229133e+06,1.013800859e+00,2.158361673e-02
2.458411230522e+06,1.030647993e+00,2.157178149e-02
2.458411231910e+06,9.714017510e-01,2.152689733e-02
2.458411233299e+06,1.012068272e+00,2.154311351e-02
2.458411234688e+06,9.770773053e-01,2.151115611e-02
2.458411236077e+06,1.012831330e+00,2.156546898e-02
2.458411237466e+06,1.016785622e+00,2.155800350e-02
2.458411238855e+06,1.043881178e+00,2.158181369e-02
2.458411240244e+06,9.896809459e-01,2.151048556e-02
2.458411241633e+06,1.006726146e+00,2.153176256e-02
2.458411243022e+06,1.007379413e+00,2.153473161e-02
2.458411244411e+06,1.024993181e+00,2.154482156e-02
2.458411245800e+06,9.733396769e-01,2.149762213e-02
2.458411247189e+06,9.947453141e-01,2.154840343e-02
2.458411248578e+06,1.002151966e+00,2.154897526e-02
2.458411249967e+06,1.020576596e+00,2.153641172e-02
2.458411251355e+06,9.843015075e-01,2.151086740e-02
2.458411252744e+06,1.025437474e+00,2.161930315e-02
2.458411254133e+06,9.938442707e-01,2.152509615e-02
2.458411255522e+06,1.017146707e+00,2.156403288e-02
2.458411256911e+06,9.977953434e-01,2.151388116e-02
2.458411258300e+06,9.898527265e-01,2.150124870e-02
2.458411259689e+06,9.808932543e-01,2.152701467e-02
2.458411261078e+06,9.943318367e-01,2.152423374e-02
2.458411262467e+06,9.979541302e-01,2.150949091e-02
2.458411263856e+06,1.028161049e+00,2.157693915e-02
2.458411265245e+06,9.948338270e-01,2.151119150e-02
2.458411266634e+06,1.030925870e+00,2.161393873e-02
2.458411268023e+06,9.919139147e-01,2.155065164e-02
2.458411269412e+06,1.002146602e+00,2.154744416e-02
2.458411270800e+06,9.741160274e-01,2.149510756e-02
2.458411272189e+06,1.006362438e+00,2.154413983e-02
2.458411273578e+06,1.036292911e+00,2.157262899e-02
2.458411274967e+06,1.036342859e+00,2.161645144e-02
2.458411276356e+06,9.933180809e-01,2.151622437e-02
2.458411277745e+06,9.911573529e-01,2.152290568e-02
2.458411279134e+06,1.040495515e+00,2.157585695e-02
2.458411280523e+06,9.973099828e-01,2.151123062e-02
2.458411281912e+06,9.941228628e-01,2.152482234e-02
2.458411283301e+06,1.021411180e+00,2.154747769e-02
2.458411284690e+06,1.022048593e+00,2.154386044e-02
2.458411286079e+06,1.008296728e+00,2.153739333e-02
2.458411287468e+06,1.025784969e+00,2.156130411e-02
2.458411288856e+06,9.878430367e-01,2.150458097e-02
2.458411290245e+06,9.971616268e-01,2.150426619e-02
2.458411291634e+06,9.905593395e-01,2.153665200e-02
2.458411293023e+06,9.769705534e-01,2.152540907e-02
2.458411294412e+06,1.003378153e+00,2.150871791e-02
2.458411295801e+06,1.004437447e+00,2.154204436e-02
2.458411297190e+06,1.011966705e+00,2.153878100e-02
2.458411298579e+06,1.014308691e+00,2.155143209e-02
2.458411299968e+06,9.918431640e-01,2.155210264e-02
2.458411301357e+06,9.705660939e-01,2.150405198e-02
2.458411302746e+06,1.002088308e+00,2.149214037e-02
2.458411304135e+06,9.941644669e-01,2.151314914e-02
2.458411305524e+06,9.887450337e-01,2.150940150e-02
2.458411306913e+06,9.940286875e-01,2.151854150e-02
2.458411308301e+06,1.000612855e+00,2.152556181e-02
2.458411309690e+06,1.009212852e+00,2.158043347e-02
2.458411311079e+06,1.011828184e+00,2.158317901e-02
2.458411312468e+06,9.614205956e-01,2.151226625e-02
2.458411313857e+06,9.991953969e-01,2.153873071e-02
2.458411315246e+06,9.910409451e-01,2.149231173e-02
2.458411316635e+06,1.017700791e+00,2.157036588e-02
2.458411318024e+06,9.920766354e-01,2.153347805e-02
2.458411319413e+06,9.810575247e-01,2.149453573e-02
2.458411320802e+06,1.001927733e+00,2.153469622e-02
2.458411322191e+06,1.020173430e+00,2.155041881e-02
2.458411323580e+06,9.981198311e-01,2.154518478e-02
2.458411324969e+06,9.503639340e-01,2.147202566e-02
2.458411326358e+06,1.015679240e+00,2.151791193e-02
2.458411327746e+06,9.977862835e-01,2.150847390e-02
2.458411329135e+06,9.765896201e-01,2.151954733e-02
2.458411330524e+06,1.008850574e+00,2.152622864e-02
2.458411331913e+06,9.957642555e-01,2.153792232e-02
2.458411333302e+06,1.002962112e+00,2.150519192e-02
2.458411334691e+06,1.015930772e+00,2.158158459e-02
2.458411336080e+06,9.664469957e-01,2.148164250e-02
2.458411337469e+06,9.999510050e-01,2.153773233e-02
2.458411338858e+06,9.913573265e-01,2.152156457e-02
2.458411340247e+06,9.918375611e-01,2.150051482e-02
2.458411341636e+06,9.913620949e-01,2.147237770e-02
2.458411343025e+06,9.873716831e-01,2.152565680e-02
2.458411344414e+06,9.828301072e-01,2.151686326e-02
2.458411345802e+06,9.724873304e-01,2.148002572e-02
2.458411347191e+06,1.023690104e+00,2.155503817e-02
2.458411348580e+06,1.043282628e+00,2.156980149e-02
2.458411349969e+06,1.031743169e+00,2.153793350e-02
2.458411351358e+06,1.029649258e+00,2.159149759e-02
2.458411352747e+06,9.873181581e-01,2.149959281e-02
2.458411354136e+06,9.966089129e-01,2.150840312e-02
2.458411355525e+06,1.017880797e+00,2.153643221e-02
2.458411356914e+06,1.019286156e+00,2.155091800e-02
2.458411358303e+06,1.026615381e+00,2.157008089e-02
2.458411359692e+06,1.005622506e+00,2.155268751e-02
2.458411361081e+06,9.979919195e-01,2.153644525e-02
2.458411362470e+06,9.829331040e-01,2.150518075e-02
2.458411363859e+06,1.003374100e+00,2.153635956e-02
2.458411365247e+06,9.922024012e-01,2.151707560e-02
2.458411366636e+06,1.030950069e+00,2.153453790e-02
2.458411368025e+06,1.029989481e+00,2.156230994e-02
2.458411369414e+06,1.036040783e+00,2.156950161e-02
2.458411370803e+06,1.004161239e+00,2.150970511e-02
2.458411372192e+06,1.017526984e+00,2.153385989e-02
2.458411373581e+06,1.014478683e+00,2.153928205e-02
2.458411374970e+06,9.993449450e-01,2.149826474e-02
2.458411376359e+06,1.034098029e+00,2.157913893e-02
2.458411377748e+06,1.002931952e+00,2.152094990e-02
2.458411379137e+06,1.028934836e+00,2.155515552e-02
2.458411380526e+06,1.002590895e+00,2.153280750e-02
2.458411381915e+06,1.020429134e+00,2.158004418e-02
2.458411383304e+06,1.003897190e+00,2.154772170e-02
2.458411384692e+06,1.019837379e+00,2.155526727e-02
2.458411386081e+06,1.006912589e+00,2.155490033e-02
2.458411387470e+06,1.058830857e+00,2.160106413e-02
2.458411388859e+06,1.019709110e+00,2.156185918e-02
2.458411390248e+06,1.032881498e+00,2.159011364e-02
2.458411391637e+06,9.895769358e-01,2.151357941e-02
2.458411393026e+06,1.026453733e+00,2.154519036e-02
2.458411394415e+06,1.019521475e+00,2.154801041e-02
2.458411395804e+06,9.743951559e-01,2.149499208e-02
2.458411397193e+06,1.018870354e+00,2.157002501e-02
2.458411398582e+06,1.037655234e+00,2.155391499e-02
2.458411399971e+06,1.024078369e+00,2.156790532e-02
2.458411401360e+06,1.008223295e+00,2.154065110e-02
2.458411402748e+06,1.002186894e+00,2.150901221e-02
2.458411404137e+06,1.020735502e+00,2.153430507e-02
2.458411405526e+06,1.022071242e+00,2.153889835e-02
2.458411406915e+06,1.013801098e+00,2.152851969e-02
2.458411408304e+06,1.033319473e+00,2.155140042e-02
2.458411409693e+06,9.943959117e-01,2.149290219e-02
2.458411411082e+06,1.025999069e+00,2.156326734e-02
2.458411412471e+06,1.038839817e+00,2.157524228e-02
2.458411413860e+06,9.708676338e-01,2.148177475e-02
2.458411415249e+06,1.005840182e+00,2.153256908e-02
2.458411416638e+06,9.977551699e-01,2.150210738e-02
2.458411418027e+06,9.935560822e-01,2.150988765e-02
2.458411419416e+06,1.007075548e+00,2.153062820e-02
2.458411420805e+06,1.041305661e+00,2.156485990e-02
2.458411422193e+06,9.984282851e-01,2.150874399e-02
2.458411423582e+06,1.056627393e+00,2.159025893e-02
2.458411424971e+06,1.019490957e+00,2.158806473e-02
2.458411426360e+06,9.844173193e-01,2.146980539e-02
2.458411427749e+06,9.826620221e-01,2.149818651e-02
2.458411429138e+06,1.022789240e+00,2.155281790e-02
2.458411430527e+06,1.020606995e+00,2.158340998e-02
2.458411431916e+06,1.018745542e+00,2.155007981e-02
2.458411433305e+06,1.016092777e+00,2.152658068e-02
2.458411434694e+06,9.808881283e-01,2.150121704e-02
2.458411436083e+06,9.882566929e-01,2.151391096e-02
2.458411437472e+06,9.834812284e-01,2.147624455e-02
2.458411438861e+06,1.008429050e+00,2.153841965e-02
2.458411440250e+06,9.921866059e-01,2.147171833e-02
2.458411441638e+06,1.009829283e+00,2.152557299e-02
2.458411443027e+06,9.983521700e-01,2.151001431e-02
2.458411444416e+06,9.770838618e-01,2.149381116e-02
2.458411445805e+06,1.037792563e+00,2.156553045e-02
2.458411447194e+06,1.022231817e+00,2.157938294e-02
2.458411448583e+06,1.001903534e+00,2.153884806e-02
2.458411449972e+06,9.933148623e-01,2.152978629e-02
2.458411451361e+06,1.015885949e+00,2.152115479e-02
2.458411452750e+06,1.016891956e+00,2.153695375e-02
2.458411454139e+06,9.732415676e-01,2.145718224e-02
2.458411455528e+06,1.004478216e+00,2.151764743e-02
2.458411456917e+06,9.922961593e-01,2.149842307e-02
2.458411458306e+06,9.889734387e-01,2.150600031e-02
2.458411459694e+06,1.019281745e+00,2.156485990e-02
2.458411461083e+06,1.041823268e+00,2.159688622e-02
2.458411462472e+06,1.002343655e+00,2.151085809e-02
2.458411463861e+06,1.046337128e+00,2.161603794e-02
2.458411465250e+06,9.796409011e-01,2.151044272e-02
2.458411466639e+06,9.962956309e-01,2.152431197e-02
2.458411468028e+06,9.914830923e-01,2.149426565e-02
2.458411469417e+06,1.037325025e+00,2.154993266e-02
2.458411470806e+06,9.864183664e-01,2.146120556e-02
2.458411472195e+06,1.032970309e+00,2.157590166e-02
2.458411473584e+06,1.008434534e+00,2.153933793e-02
2.458411474973e+06,1.022576928e+00,2.154426649e-02
2.458411476362e+06,1.005921483e+00,2.154091373e-02
2.458411477751e+06,9.873697162e-01,2.150601521e-02
2.458411479139e+06,1.036763430e+00,2.154718526e-02
2.458411480528e+06,9.957000613e-01,2.148937806e-02
2.458411481917e+06,1.008677125e+00,2.152086049e-02
2.458411483306e+06,1.001597762e+00,2.153391205e-02
2.458411484695e+06,1.038842201e+00,2.157254890e-02
2.458411486084e+06,9.983161688e-01,2.150390670e-02
2.458411487473e+06,1.041825056e+00,2.157026902e-02
2.458411488862e+06,1.022126198e+00,2.154615521e-02
2.458411490251e+06,9.815713167e-01,2.147876658e-02
2.458411491640e+06,1.019966006e+00,2.161145210e-02
2.458411493029e+06,1.039858937e+00,2.156604640e-02
2.458411494418e+06,1.042734385e+00,2.159799635e-02
2.458411495807e+06,1.011756182e+00,2.156102844e-02
2.458411497195e+06,1.006889939e+00,2.151389048e-02
2.458411498584e+06,1.009227157e+00,2.152420394e-02
2.458411499973e+06,1.020764828e+00,2.156359516e-02
2.458411501362e+06,1.008525372e+00,2.154291235e-02
2.458411502751e+06,1.013959289e+00,2.155036107e-02
2.458411504140e+06,9.671155810e-01,2.146861702e-02
2.458411505529e+06,1.010847449e+00,2.152539231e-02
2.458411506918e+06,9.624568820e-01,2.147612162e-02
2.458411508307e+06,9.620941281e-01,2.146938629e-02
2.458411509696e+06,9.908924699e-01,2.149612270e-02
2.458411511085e+06,9.867901206e-01,2.149424516e-02
2.458411512474e+06,1.009526372e+00,2.154845744e-02
2.458411513863e+06,9.983130693e-01,2.151730843e-02
2.458411515252e+06,9.867451191e-01,2.150765434e-02
2.458411516640e+06,9.753031731e-01,2.150272019e-02
2.458411518029e+06,1.003521562e+00,2.154025994e-02
2.458411519418e+06,9.631717801e-01,2.149994858e-02
2.458411520807e+06,1.003637552e+00,2.152618021e-02
2.458411522196e+06,9.989835620e-01,2.150646597e-02
2.458411523585e+06,9.884400368e-01,2.152911574e-02
2.458411524974e+06,1.012202621e+00,2.153413184e-02
2.458411526363e+06,1.029348969e+00,2.160230279e-02
2.458411527752e+06,9.590365291e-01,2.147830464e-02
2.458411529141e+06,9.843755364e-01,2.149378881e-02
2.458411530530e+06,9.748895764e-01,2.151237428e-02
2.458411531919e+06,1.016533494e+00,2.155200765e-02
2.458411533308e+06,1.008162141e+00,2.154294215e-02
2.458411534697e+06,9.877622128e-01,2.153338119e-02
2.458411536085e+06,9.980548620e-01,2.151663043e-02
2.458411537474e+06,9.847340584e-01,2.148983069e-02
2.458411538863e+06,1.007827640e+00,2.153483406e-02
2.458411540252e+06,1.008342624e+00,2.153772675e-02
2.458411541641e+06,9.622099996e-01,2.142863162e-02
2.458411543030e+06,9.640167952e-01,2.150433324e-02
2.458411544419e+06,9.844678640e-01,2.154078148e-02
2.458411545808e+06,9.779872298e-01,2.151049301e-02
2.458411547197e+06,1.036599159e+00,2.157806791e-02
2.458411548586e+06,1.002356768e+00,2.152592130e-02
2.458411549975e+06,9.721352458e-01,2.145967633e-02
2.458411551364e+06,1.014984488e+00,2.154031210e-02
2.458411552753e+06,1.025482416e+00,2.156503685e-02
2.458411554141e+06,9.962469339e-01,2.153661661e-02
2.458411555530e+06,9.992149472e-01,2.152013406e-02
2.458411556919e+06,9.931411147e-01,2.152200416e-02
2.458411558308e+06,1.007835507e+00,2.150893398e-02
2.458411559697e+06,1.006046772e+00,2.152797766e-02
2.458411561086e+06,1.016767502e+00,2.152463049e-02
2.458411562475e+06,1.039413691e+00,2.156349085e-02
2.458411563864e+06,9.972801208e-01,2.150530927e-02
2.458411565253e+06,9.661558867e-01,2.145703137e-02
2.458411566642e+06,9.804170728e-01,2.151846141e-02
2.458411568031e+06,9.933410287e-01,2.150294185e-02
2.458411569420e+06,1.012422800e+00,2.154067159e-02
2.458411570809e+06,9.818923473e-01,2.150131017e-02
2.458411572198e+06,1.044641495e+00,2.161217667e-02
2.458411573586e+06,1.004168868e+00,2.155326121e-02
2.458411574975e+06,1.003852129e+00,2.151252516e-02
2.458411576364e+06,9.944832921e-01,2.150814794e-02
2.458411577753e+06,1.002222419e+00,2.150676958e-02
2.458411579142e+06,1.020422697e+00,2.155219577e-02
2.458411580531e+06,1.004497290e+00,2.153298818e-02
2.458411581920e+06,9.998013377e-01,2.153312974e-02
2.458411583309e+06,1.013250232e+00,2.154726721e-02
2.458411584698e+06,9.953888059e-01,2.151523344e-02
2.458411586087e+06,1.024864316e+00,2.154283039e-02
2.458411587476e+06,9.763761163e-01,2.147390880e-02
2.458411588865e+06,9.865772724e-01,2.148347721e-02
2.458411590254e+06,9.856926203e-01,2.152559347e-02
2.458411591642e+06,1.008174539e+00,2.153218910e-02
2.458411593031e+06,9.673977494e-01,2.151430584e-02
2.458411594420e+06,9.825069308e-01,2.150944434e-02
2.458411595809e+06,1.000946403e+00,2.149097994e-02
2.458411597198e+06,1.023114324e+00,2.157708444e-02
2.458411598587e+06,1.007092714e+00,2.154974639e-02
2.458411599976e+06,9.759843349e-01,2.152662911e-02
2.458411601365e+06,9.600803852e-01,2.147871256e-02
2.458411602754e+06,9.770641327e-01,2.148768678e-02
2.458411604143e+06,9.808252454e-01,2.149630152e-02
2.458411605532e+06,1.011834145e+00,2.155145258e-02
2.458411606921e+06,1.006919861e+00,2.154866420e-02
2.458411608310e+06,9.852996469e-01,2.148532122e-02
2.458411609699e+06,9.990127087e-01,2.149579674e-02
2.458411611087e+06,9.836807847e-01,2.149529196e-02
2.458411612476e+06,9.849653244e-01,2.152374573e-02
