# #BJD_TDB,flux,flux_err
2.458411197313298006e+06,1.001894235610961914e+00,2.428369596600532532e-03
2.458411198702217545e+06,9.994368553161621094e-01,2.427713479846715927e-03
2.458411200091137085e+06,1.003675222396850586e+00,2.430733060464262962e-03
2.458411201480056625e+06,9.993779063224792480e-01,2.428003353998064995e-03
2.458411202868976165e+06,9.979144930839538574e-01,2.426303457468748093e-03
2.458411204257895239e+06,1.002452611923217773e+00,2.428231062367558479e-03
2.458411205646814778e+06,9.989508390426635742e-01,2.427815925329923630e-03
2.458411207035734318e+06,1.003351449966430664e+00,2.430430147796869278e-03
2.458411208424653858e+06,1.000091314315795898e+00,2.427111146971583366e-03
2.458411209813573398e+06,1.000435352325439453e+00,2.428890438750386238e-03
2.458411211202492937e+06,1.002136945724487305e+00,2.428824547678232193e-03
2.458411212591412477e+06,9.984250664710998535e-01,2.423690399155020714e-03
2.458411213980331551e+06,9.983237981796264648e-01,2.426337916404008865e-03
2.458411215369251091e+06,9.960598349571228027e-01,2.426273655146360397e-03
2.458411216758170631e+06,1.003664255142211914e+00,2.430212451145052910e-03
2.458411218147090171e+06,1.003742933273315430e+00,2.431678818538784981e-03
2.458411219536009710e+06,1.003934621810913086e+00,2.430303487926721573e-03
2.458411220924929250e+06,1.001323580741882324e+00,2.429560525342822075e-03
2.458411222313848790e+06,1.006205320358276367e+00,2.430859487503767014e-03
2.458411223702768330e+06,9.984624981880187988e-01,2.427594736218452454e-03
2.458411225091687869e+06,1.003714203834533691e+00,2.432882785797119141e-03
2.458411226480607409e+06,9.977117180824279785e-01,2.427974250167608261e-03
2.458411227869526483e+06,1.002454280853271484e+00,2.431180095300078392e-03
2.458411229258446023e+06,1.000484347343444824e+00,2.426762832328677177e-03
2.458411230647365563e+06,1.004615306854248047e+00,2.429603831842541695e-03
2.458411232036285102e+06,1.001805424690246582e+00,2.429355867207050323e-03
2.458411233425204642e+06,1.000303864479064941e+00,2.427405444905161858e-03
2.458411234814124182e+06,9.980238676071166992e-01,2.428059000521898270e-03
2.458411236203043722e+06,9.997941851615905762e-01,2.428549574688076973e-03
2.458411237591962796e+06,1.002089738845825195e+00,2.428053179755806923e-03
2.458411238980882335e+06,1.001791477203369141e+00,2.429436892271041870e-03
2.458411240369801875e+06,1.000118494033813477e+00,2.428217558190226555e-03
2.458411241758721415e+06,1.003026366233825684e+00,2.429374027997255325e-03
2.458411243147640955e+06,9.972477555274963379e-01,2.427632454782724380e-03
2.458411244536560494e+06,1.002488017082214355e+00,2.430718624964356422e-03
2.458411245925480034e+06,1.002623796463012695e+00,2.430834807455539703e-03
2.458411247314399574e+06,1.005733013153076172e+00,2.430993830785155296e-03
2.458411248703318648e+06,1.001107454299926758e+00,2.427686937153339386e-03
2.458411250092238188e+06,1.005243301391601562e+00,2.432311419397592545e-03
2.458411251481157728e+06,1.002931356430053711e+00,2.429879270493984222e-03
2.458411252870077267e+06,1.006546616554260254e+00,2.431539352983236313e-03
2.458411254258996807e+06,1.001255750656127930e+00,2.428546547889709473e-03
2.458411255647916347e+06,1.003034114837646484e+00,2.431327709928154945e-03
2.458411257036835887e+06,9.991024136543273926e-01,2.428141189739108086e-03
2.458411258425755426e+06,1.000639796257019043e+00,2.427102532237768173e-03
2.458411259814674500e+06,1.003299355506896973e+00,2.428917679935693741e-03
2.458411261203594040e+06,1.002790570259094238e+00,2.429709536954760551e-03
2.458411262592513580e+06,9.999397993087768555e-01,2.428784035146236420e-03
2.458411263981433120e+06,1.004262208938598633e+00,2.430049469694495201e-03
2.458411265370352659e+06,1.001473426818847656e+00,2.426744904369115829e-03
2.458411266759272199e+06,1.001100182533264160e+00,2.427175408229231834e-03
2.458411268148191739e+06,1.001941680908203125e+00,2.429164946079254150e-03
2.458411269537111279e+06,1.004252910614013672e+00,2.431947505101561546e-03
2.458411270926030818e+06,1.001988172531127930e+00,2.429023152217268944e-03
2.458411272314950358e+06,1.009661197662353516e+00,2.435010392218828201e-03
2.458411273703869432e+06,1.002959966659545898e+00,2.430541440844535828e-03
2.458411275092788972e+06,9.996625781059265137e-01,2.428915118798613548e-03
2.458411276481708512e+06,1.001342415809631348e+00,2.426939317956566811e-03
2.458411277870628051e+06,1.007247567176818848e+00,2.434203634038567543e-03
2.458411279259547591e+06,1.001719713211059570e+00,2.427557716146111488e-03
2.458411280648467131e+06,9.972450137138366699e-01,2.428725594654679298e-03
2.458411282037386671e+06,1.006416797637939453e+00,2.432039007544517517e-03
2.458411283426306210e+06,1.003225326538085938e+00,2.427986823022365570e-03
2.458411284815225750e+06,1.002161860466003418e+00,2.428320469334721565e-03
2.458411286204144824e+06,1.004512906074523926e+00,2.429638989269733429e-03
2.458411287593064364e+06,1.003576874732971191e+00,2.429359359666705132e-03
2.458411288981983904e+06,1.005074024200439453e+00,2.430268563330173492e-03
2.458411290370903444e+06,1.001389384269714355e+00,2.424878068268299103e-03
2.458411291759822983e+06,1.002654314041137695e+00,2.428802428767085075e-03
2.458411293148742523e+06,9.992100000381469727e-01,2.428138395771384239e-03
2.458411294537662063e+06,9.966791868209838867e-01,2.426170278340578079e-03
2.458411295926581603e+06,9.977834820747375488e-01,2.427870407700538635e-03
2.458411297315501142e+06,9.966755509376525879e-01,2.426027785986661911e-03
2.458411298704420682e+06,1.002145051956176758e+00,2.428210107609629631e-03
2.458411300093339756e+06,9.999119043350219727e-01,2.426475053653120995e-03
2.458411301482259296e+06,9.990287423133850098e-01,2.427169121801853180e-03
2.458411302871178836e+06,1.001037478446960449e+00,2.430028282105922699e-03
2.458411304260098375e+06,1.005538463592529297e+00,2.432262059301137924e-03
2.458411305649017915e+06,1.006295680999755859e+00,2.429304411634802818e-03
2.458411307037937455e+06,9.995165467262268066e-01,2.426123246550559998e-03
2.458411308426856995e+06,9.999911785125732422e-01,2.429232001304626465e-03
2.458411309815776534e+06,9.985769391059875488e-01,2.427094150334596634e-03
2.458411311204696074e+06,1.001442909240722656e+00,2.428336068987846375e-03
2.458411312593615148e+06,1.002462625503540039e+00,2.429407555609941483e-03
2.458411313982534688e+06,1.009490966796875000e+00,2.434029243886470795e-03
2.458411315371454228e+06,1.002105832099914551e+00,2.427809871733188629e-03
2.458411316760373767e+06,1.000193595886230469e+00,2.427062718197703362e-03
2.458411318149293307e+06,1.001681804656982422e+00,2.429378684610128403e-03
2.458411319538212847e+06,1.001551032066345215e+00,2.429502783343195915e-03
2.458411320927132387e+06,1.002946019172668457e+00,2.428299980238080025e-03
2.458411322316051926e+06,9.947464466094970703e-01,2.426307881250977516e-03
2.458411323704971466e+06,1.001216173171997070e+00,2.430072054266929626e-03
2.458411325093891006e+06,1.002838253974914551e+00,2.428718842566013336e-03
2.458411326482810080e+06,1.004768490791320801e+00,2.429792424663901329e-03
2.458411327871729620e+06,1.004213213920593262e+00,2.429593121632933617e-03
2.458411329260649160e+06,1.002623081207275391e+00,2.429969841614365578e-03
2.458411330649568699e+06,1.000930666923522949e+00,2.429175190627574921e-03
2.458411332038488239e+06,1.000223517417907715e+00,2.428240608423948288e-03
2.458411333427407779e+06,1.001911878585815430e+00,2.429457614198327065e-03
2.458411334816327319e+06,1.002653360366821289e+00,2.426902297884225845e-03
2.458411336205246858e+06,1.002197504043579102e+00,2.428408712148666382e-03
2.458411337594166398e+06,1.002135753631591797e+00,2.428524196147918701e-03
2.458411338983085472e+06,9.992058873176574707e-01,2.427972387522459030e-03
2.458411340372005012e+06,1.004265308380126953e+00,2.427988918498158455e-03
2.458411341760924552e+06,1.001320481300354004e+00,2.428757026791572571e-03
2.458411343149844091e+06,1.004934906959533691e+00,2.430834574624896049e-03
2.458411344538763631e+06,1.000261902809143066e+00,2.426876220852136612e-03
2.458411345927683171e+06,9.989179968833923340e-01,2.427193336188793182e-03
2.458411347316602711e+06,1.002038359642028809e+00,2.429522341117262840e-03
2.458411348705522250e+06,1.002825140953063965e+00,2.429712330922484398e-03
2.458411350094441324e+06,1.002229213714599609e+00,2.428424078971147537e-03
2.458411351483360864e+06,1.002443432807922363e+00,2.428607549518346786e-03
2.458411352872280404e+06,1.000971317291259766e+00,2.428344683721661568e-03
2.458411354261199944e+06,1.000262856483459473e+00,2.426689723506569862e-03
2.458411355650119483e+06,9.979484081268310547e-01,2.425683429464697838e-03
2.458411357039039023e+06,1.003160715103149414e+00,2.429693471640348434e-03
2.458411358427958563e+06,1.003045916557312012e+00,2.430704422295093536e-03
2.458411359816878103e+06,9.987555146217346191e-01,2.428134437650442123e-03
2.458411361205797177e+06,9.979024529457092285e-01,2.424671314656734467e-03
2.458411362594716717e+06,1.001648306846618652e+00,2.428700216114521027e-03
2.458411363983636256e+06,9.974505305290222168e-01,2.424725098535418510e-03
2.458411365372555796e+06,1.007238984107971191e+00,2.431233413517475128e-03
2.458411366761475336e+06,1.002886176109313965e+00,2.428467152640223503e-03
2.458411368150394876e+06,9.998866319656372070e-01,2.427568659186363220e-03
2.458411369539314415e+06,1.003026366233825684e+00,2.428516047075390816e-03
2.458411370928233955e+06,9.979448914527893066e-01,2.425453625619411469e-03
2.458411372317153029e+06,1.003786206245422363e+00,2.429138636216521263e-03
2.458411373706072569e+06,1.002036690711975098e+00,2.430020831525325775e-03
2.458411375094992109e+06,1.005401492118835449e+00,2.430964261293411255e-03
2.458411376483911648e+06,9.989297986030578613e-01,2.427475294098258018e-03
2.458411377872831188e+06,1.002858161926269531e+00,2.429980784654617310e-03
2.458411379261750728e+06,1.002777338027954102e+00,2.428355859592556953e-03
2.458411380650670268e+06,1.004238367080688477e+00,2.430436899885535240e-03
2.458411382039589807e+06,9.972079992294311523e-01,2.426528604701161385e-03
2.458411383428509347e+06,1.000221133232116699e+00,2.428456209599971771e-03
2.458411384817428421e+06,1.002085447311401367e+00,2.429217332974076271e-03
2.458411386206347961e+06,1.002936005592346191e+00,2.429272979497909546e-03
2.458411387595267501e+06,9.969203472137451172e-01,2.426685998216271400e-03
2.458411388984187040e+06,1.001218199729919434e+00,2.428476000204682350e-03
2.458411390373106580e+06,1.005983710289001465e+00,2.430755877867341042e-03
2.458411391762026120e+06,1.008538484573364258e+00,2.433214336633682251e-03
2.458411393150945194e+06,1.003363132476806641e+00,2.429078565910458565e-03
2.458411394539864734e+06,9.990409016609191895e-01,2.428274601697921753e-03
2.458411395928784274e+06,1.004883289337158203e+00,2.431023400276899338e-03
2.458411397317703813e+06,9.963489174842834473e-01,2.424346283078193665e-03
2.458411398706623353e+06,1.001526117324829102e+00,2.429191954433917999e-03
2.458411400095542893e+06,9.988696575164794922e-01,2.427352592349052429e-03
2.458411401484462433e+06,1.000217080116271973e+00,2.427322557196021080e-03
2.458411402873381972e+06,9.992501139640808105e-01,2.424791455268859863e-03
2.458411404262301046e+06,1.003190994262695312e+00,2.428573323413729668e-03
2.458411405651220586e+06,1.004851460456848145e+00,2.431157743558287621e-03
2.458411407040140126e+06,1.000139594078063965e+00,2.426844788715243340e-03
2.458411408429059666e+06,9.960495233535766602e-01,2.424920909106731415e-03
2.458411409817979205e+06,1.004483699798583984e+00,2.430231776088476181e-03
2.458411411206898745e+06,1.002785444259643555e+00,2.428524428978562355e-03
2.458411412595817819e+06,1.001121640205383301e+00,2.426842460408806801e-03
2.458411413984737359e+06,9.967476129531860352e-01,2.423722529783844948e-03
2.458411415373656899e+06,1.002573370933532715e+00,2.429480431601405144e-03
2.458411416762576438e+06,9.977365136146545410e-01,2.425402868539094925e-03
2.458411418151495978e+06,9.972565770149230957e-01,2.424297621473670006e-03
2.458411419540415518e+06,1.001111984252929688e+00,2.426314866170287132e-03
2.458411420929335058e+06,9.999163746833801270e-01,2.427430357784032822e-03
2.458411422318254132e+06,9.973699450492858887e-01,2.425935585051774979e-03
2.458411423707173672e+06,1.001977086067199707e+00,2.428232692182064056e-03
2.458411425096093211e+06,9.972910881042480469e-01,2.425354672595858574e-03
2.458411426485012751e+06,9.997584223747253418e-01,2.427489962428808212e-03
2.458411427873932291e+06,1.000530004501342773e+00,2.427911385893821716e-03
2.458411429262851831e+06,9.980299472808837891e-01,2.426112536340951920e-03
2.458411430651771370e+06,9.998336434364318848e-01,2.428459702059626579e-03
2.458411432040690444e+06,9.995490312576293945e-01,2.427331404760479927e-03
2.458411433429609984e+06,9.972413182258605957e-01,2.423852682113647461e-03
2.458411434818529524e+06,9.997848868370056152e-01,2.426991006359457970e-03
2.458411436207449064e+06,1.000436902046203613e+00,2.428481122478842735e-03
2.458411437596368603e+06,9.996284246444702148e-01,2.425110433250665665e-03
2.458411438985287677e+06,9.997052550315856934e-01,2.428182400763034821e-03
2.458411440374207217e+06,1.002608537673950195e+00,2.427756553515791893e-03
2.458411441763126757e+06,9.974626302719116211e-01,2.424775622785091400e-03
2.458411443152046297e+06,1.001379609107971191e+00,2.428459236398339272e-03
2.458411444540965836e+06,1.001410245895385742e+00,2.428425010293722153e-03
2.458411445929885376e+06,9.992059469223022461e-01,2.426610793918371201e-03
2.458411447318804450e+06,1.002115488052368164e+00,2.426801482215523720e-03
2.458411448707723990e+06,9.983138442039489746e-01,2.426506951451301575e-03
2.458411450096643530e+06,1.000590562820434570e+00,2.426865510642528534e-03
2.458411451485563070e+06,1.004083514213562012e+00,2.429953543469309807e-03
2.458411452874482609e+06,1.001466393470764160e+00,2.429446205496788025e-03
2.458411454263402149e+06,1.003269076347351074e+00,2.429088344797492027e-03
2.458411455652321223e+06,9.986285567283630371e-01,2.426685532554984093e-03
2.458411457041240763e+06,1.002408862113952637e+00,2.428922336548566818e-03
